kode,display,nama_pemeriksaan,kategori,permintaan_hasil,sumber
37881-0,XR Sternoclavicular Joint 3 Views,XR sendi sternoklavikula tiga proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
37546-9,XR Temporomandibular joint - bilateral Open and Closed mouth,XR sendi temporomandibula buka dan tutup mulut bilateral,Radiologi,Permintaan & Hasil,bag2/XR
48699-3,XR Temporomandibular joint - unilateral Open and Closed mouth,XR sendi temporomandibula buka dan tutup mulut unilateral,Radiologi,Permintaan & Hasil,bag2/XR
95611-0,XR Teeth Occlusal Views,XR shift scath,Radiologi,Permintaan & Hasil,bag2/XR
39395-9,XR Shoulder - right AP internal rotation and AP external rotation,XR shoulder exo dan endo kanan,Radiologi,Permintaan & Hasil,bag2/XR
39328-0,XR Shoulder - left AP internal rotation and AP external rotation,XR shoulder exo dan endo kiri,Radiologi,Permintaan & Hasil,bag2/XR
38783-7,XR Shoulder - right AP and Axillary and Y,"XR shoulder joint axillary, AP dan Y-view kanan",Radiologi,Permintaan & Hasil,bag2/XR
37084-1,XR Shoulder - left AP and Axillary and Y,"XR shoulder joint axillary, AP dan Y-view kiri",Radiologi,Permintaan & Hasil,bag2/XR
39395-9,XR Shoulder - right AP internal rotation and AP external rotation,XR shoulder joint endo dan ekso kanan,Radiologi,Permintaan & Hasil,bag2/XR
39328-0,XR Shoulder - left AP internal rotation and AP external rotation,XR shoulder joint endo dan ekso kiri,Radiologi,Permintaan & Hasil,bag2/XR
26382-2,XR Shoulder - bilateral 3 Views,XR shoulder tiga proyeksi bilateral,Radiologi,Permintaan & Hasil,bag2/XR
37858-8,XR Sinuses Lateral,XR sinus adenoid,Radiologi,Permintaan & Hasil,bag2/XR
37857-0,XR Sinuses Caldwell,XR sinus caldwell,Radiologi,Permintaan & Hasil,bag2/XR
24916-9,XR Sinuses Views,XR sinus paranasal,Radiologi,Permintaan & Hasil,bag2/XR
43523-0,XR Sinuses 1 or 2 Views,XR sinus paranasal kurang dari tiga proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
43486-0,XR Sinuses GE 3 Views,XR sinus paranasal minimal tiga proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
37862-0,XR Sinuses Lateral and Waters,XR sinus paranasal waters dan lateral,Radiologi,Permintaan & Hasil,bag2/XR
26154-5,XR Scapula - bilateral Views,XR skapula bilateral,Radiologi,Permintaan & Hasil,bag2/XR
37655-8,XR Scapula 2 Views,XR skapula dua proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
37787-9,XR Scapula - right 2 Views,XR skapula dua proyeksi kanan,Radiologi,Permintaan & Hasil,bag2/XR
36666-6,XR Scapula - left 2 Views,XR skapula dua proyeksi kiri,Radiologi,Permintaan & Hasil,bag2/XR
69269-9,XR Skull AP,XR skull AP,Radiologi,Permintaan & Hasil,bag2/XR
24919-3,XR Skull AP and Lateral,XR skull AP dan lateral,Radiologi,Permintaan & Hasil,bag2/XR
24920-1,XR Skull Lateral,XR skull lateral,Radiologi,Permintaan & Hasil,bag2/XR
69270-7,XR Skull PA,XR skull PA,Radiologi,Permintaan & Hasil,bag2/XR
69256-6,XR Knee - right Sunrise,XR sky line kanan,Radiologi,Permintaan & Hasil,bag2/XR
43779-8,XR Knee - left Sunrise,XR sky line kiri,Radiologi,Permintaan & Hasil,bag2/XR
42439-0,XR Neck AP,XR soft tissue leher AP,Radiologi,Permintaan & Hasil,bag2/XR
24843-5,XR Neck Lateral,XR soft tissue leher lateral,Radiologi,Permintaan & Hasil,bag2/XR
72876-6,XR Surgical specimen Views,XR spesimen bedah,Radiologi,Permintaan & Hasil,bag2/XR
24834-4,XR Nasal bones Views,XR spot nasal lateral,Radiologi,Permintaan & Hasil,bag2/XR
37153-4,XR Mastoid Stenver and Arcelin,XR stenvers kanan,Radiologi,Permintaan & Hasil,bag2/XR
37153-4,XR Mastoid Stenver and Arcelin,XR stenvers kiri,Radiologi,Permintaan & Hasil,bag2/XR
37883-6,XR Sternum 2 Views,XR sternum minimal dua proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
98330-4,XR Sternum PA Views,XR sternum PA,Radiologi,Permintaan & Hasil,bag2/XR
43518-0,XR Bones Survey Views,XR survey tulang (Bone Survey),Radiologi,Permintaan & Hasil,bag2/XR
83020-8,XR Bones Complete Survey Views,XR survey tulang lengkap,Radiologi,Permintaan & Hasil,bag2/XR
43519-8,XR Bones Limited Survey Views,XR survey tulang terbatas,Radiologi,Permintaan & Hasil,bag2/XR
38089-9,XR Bones Limited Survey Views for metastasis,XR survey tulang terbatas untuk metastasis,Radiologi,Permintaan & Hasil,bag2/XR
24721-3,XR Hand 2 Views,XR tangan dua proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
79357-0,XR Hand GE 3 Views,XR tangan minimal tiga proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
44206-1,XR Thoracic and lumbar spine for scoliosis single view,XR thoracolumbal bending kiri,Radiologi,Permintaan & Hasil,bag2/XR
36572-6,XR Chest AP,XR thorax AP,Radiologi,Permintaan & Hasil,bag2/XR
36643-5,XR Chest 2 Views,XR thorax dua proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
36687-2,XR Chest AP and Lateral,XR thorax dua proyeksi AP dan lateral,Radiologi,Permintaan & Hasil,bag2/XR
36759-9,XR Chest PA and Apical lordotic,XR thorax dua proyeksi PA dan lateral dengan prosedur top lordotik,Radiologi,Permintaan & Hasil,bag2/XR
39051-8,XR Chest Lateral,XR thorax lateral,Radiologi,Permintaan & Hasil,bag2/XR
39051-8,XR Chest Lateral,XR thorax lateral kanan,Radiologi,Permintaan & Hasil,bag2/XR
30737-1,XR Chest Left lateral,XR thorax lateral kiri,Radiologi,Permintaan & Hasil,bag2/XR
24637-1,XR Chest AP left lateral-decubitus,XR thorax LLD,Radiologi,Permintaan & Hasil,bag2/XR
37010-6,XR Chest Right oblique,XR thorax oblique kanan,Radiologi,Permintaan & Hasil,bag2/XR
37008-0,XR Chest Left oblique,XR thorax oblique kiri,Radiologi,Permintaan & Hasil,bag2/XR
24648-8,XR Chest PA upright,XR thorax PA,Radiologi,Permintaan & Hasil,bag2/XR
42272-5,XR Chest PA and Lateral,XR thorax PA dan lateral,Radiologi,Permintaan & Hasil,bag2/XR
30744-7,XR Chest PA and Lateral and Oblique,"XR thorax PA, lateral dan oblique",Radiologi,Permintaan & Hasil,bag2/XR
39074-0,XR Chest AP and Lateral and Right oblique and Left oblique,"XR thorax PA, lateral dengan proyeksi oblique kanan dan kiri",Radiologi,Permintaan & Hasil,bag2/XR
43466-2,XR Chest AP right lateral-decubitus,XR thorax RLD,Radiologi,Permintaan & Hasil,bag2/XR
36554-4,XR Chest Single view,XR thorax satu proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
37895-0,XR Tibia and Fibula 2 Views,XR tibia dan fibula dua proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
37325-8,XR Temporomandibular joint - bilateral Views,XR TMJ bilateral,Radiologi,Permintaan & Hasil,bag2/XR
48490-7,XR Temporomandibular joint - right Open and Closed mouth,XR TMJ buka mulut kanan,Radiologi,Permintaan & Hasil,bag2/XR
48491-5,XR Temporomandibular joint - left Open and Closed mouth,XR TMJ buka mulut kiri,Radiologi,Permintaan & Hasil,bag2/XR
48490-7,XR Temporomandibular joint - right Open and Closed mouth,XR TMJ tutup mulut kanan,Radiologi,Permintaan & Hasil,bag2/XR
48491-5,XR Temporomandibular joint - left Open and Closed mouth,XR TMJ tutup mulut kiri,Radiologi,Permintaan & Hasil,bag2/XR
24640-5,XR Chest Apical lordotic,XR top lordotik,Radiologi,Permintaan & Hasil,bag2/XR
37870-3,XR Skull Towne,XR towne,Radiologi,Permintaan & Hasil,bag2/XR
98283-5,XR Gastrointestinal tract upper Views,XR traktus gastrointestinal atas,Radiologi,Permintaan & Hasil,bag2/XR
39149-0,XR Gastrointestinal tract and Pulmonary system Single view for foreign body,"XR traktus gastrointestinal dan sistem pulmoner untuk mencari benda asing, satu proyeksi",Radiologi,Permintaan & Hasil,bag2/XR
44199-8,XR Facial bones 1 or 2 Views,XR tulang wajah kurang dari tiga proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
48479-0,XR Facial bones GE 3 Views,XR tulang wajah minimal tiga proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
38101-2,XR Kidney Views W contrast antegrade,XR urografi (pielografi) dengan kontras antegrade,Radiologi,Permintaan & Hasil,bag2/XR
37607-9,XR Kidney Views W contrast IV,XR urografi (pielografi) dengan kontras IV,Radiologi,Permintaan & Hasil,bag2/XR
38105-3,XR Kidney Views W contrast retrograde,XR urografi (pielografi) dengan kontras retrograde,Radiologi,Permintaan & Hasil,bag2/XR
85151-9,XR Bone age,XR usia tulang (bone age),Radiologi,Permintaan & Hasil,bag2/XR
36669-0,XR Cervical spine 2 Views,XR vertebra C1-C2,Radiologi,Permintaan & Hasil,bag2/XR
43539-6,XR Cervical spine 2 or 3 Views,XR vertebra cervical dua atau tiga proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
44212-9,XR Cervical spine GE 4 Views,XR vertebra cervical minimal empat proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
83022-4,XR Cervical spine 2 or 3 views and (Views W flexion and W extension) and Views oblique,"XR vertebra cervical oblique, fleksi dan ekstensi",Radiologi,Permintaan & Hasil,bag2/XR
24940-9,XR Cervical spine Single view,XR vertebra cervical satu proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
37481-9,XR Cervical and thoracic spine Views,XR vertebra cervicothoracal,Radiologi,Permintaan & Hasil,bag2/XR
93605-4,XR Skull to Coccyx 2 or 3 Views,XR vertebra lengkap AP dan lateral (whole spine),Radiologi,Permintaan & Hasil,bag2/XR
93606-2,XR Skull to Coccyx 4 or 5 Views,XR vertebra lengkap empat atau lima proyeksi (whole spine),Radiologi,Permintaan & Hasil,bag2/XR
93607-0,XR Skull to Coccyx GE 6 Views,XR vertebra lengkap minimal enam proyeksi (whole spine),Radiologi,Permintaan & Hasil,bag2/XR
93606-2,XR Skull to Coccyx 4 or 5 Views,XR vertebra lengkap stitch view (scoliosis series),Radiologi,Permintaan & Hasil,bag2/XR
24970-6,XR Lumbar spine AP and Lateral,XR vertebra lumbal AP dan lateral,Radiologi,Permintaan & Hasil,bag2/XR
36735-9,XR Lumbar spine AP and Lateral and oblique,"XR vertebra lumbal AP, lateral dan oblique",Radiologi,Permintaan & Hasil,bag2/XR
24971-4,XR Lumbar spine Views W flexion and W extension,XR vertebra lumbal dinamik fleksi dan ekstensi,Radiologi,Permintaan & Hasil,bag2/XR
48469-1,XR Lumbar spine 2 or 3 Views,XR vertebra lumbal dua atau tiga proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
36670-8,XR Lumbar spine 2 Views,XR vertebra lumbal dua proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
36332-5,XR Lumbar spine 4 Views,XR vertebra lumbal empat proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
30773-6,XR Lumbar spine Single view,XR vertebra lumbal satu proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
37340-7,XR Spine Lumbar and Sacrum Views,XR vertebra lumbosakral,Radiologi,Permintaan & Hasil,bag2/XR
37340-7,XR Spine Lumbar and Sacrum Views,XR vertebra lumbosakral AP,Radiologi,Permintaan & Hasil,bag2/XR
79371-1,XR Spine Lumbar and Sacrum GE 2 Views,XR vertebra lumbosakral AP dan lateral,Radiologi,Permintaan & Hasil,bag2/XR
48473-3,XR Spine Lumbar and Sacrum 4 Views,"XR vertebra lumbosakral AP, lateral dan oblique bilateral",Radiologi,Permintaan & Hasil,bag2/XR
79371-1,XR Spine Lumbar and Sacrum GE 2 Views,XR vertebra lumbosakral dua atau tiga proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
79371-1,XR Spine Lumbar and Sacrum GE 2 Views,XR vertebra lumbosakral dua proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
24969-8,XR Lumbar spine Lateral,XR vertebra lumbosakral lateral,Radiologi,Permintaan & Hasil,bag2/XR
37132-8,XR Lumbar spine Lateral Views W flexion and W extension,XR vertebra lumbosakral lateral flexi dan extensi,Radiologi,Permintaan & Hasil,bag2/XR
79372-9,XR Spine Lumbar and Sacrum GE 4 Views,XR vertebra lumbosakral minimal empat proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
30778-5,XR Lumbar spine Oblique,XR vertebra lumbosakral oblique,Radiologi,Permintaan & Hasil,bag2/XR
94684-8,XR Spine Lumbar and Sacrum GE 6 Views W right bending and W left bending,XR vertebra lumbosakral proyeksi bending minimal 6 proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
83038-0,XR Lumbar spine Greater than 4 views and (Greater than 1 view W R-bending and W L-bending),XR vertebra lumbosakral proyeksi bending minimal empat proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
44179-0,XR Sacrum and Coccyx 2 Views,XR vertebra sacrococcygeus AP dan lateral,Radiologi,Permintaan & Hasil,bag2/XR
39049-2,XR Thoracic and lumbar spine AP,XR vertebra thoracolumbar AP,Radiologi,Permintaan & Hasil,bag2/XR
38123-6,XR Thoracic and lumbar spine AP and Lateral,XR vertebra thoracolumbar AP lateral,Radiologi,Permintaan & Hasil,bag2/XR
42429-1,XR Thoracic and lumbar spine AP for scoliosis W standing and W right bending,XR vertebra thoracolumbar bending kanan,Radiologi,Permintaan & Hasil,bag2/XR
42425-9,XR Thoracic and lumbar spine AP Views for scoliosis W standing and W right bending and W left bending and WO bending,XR vertebra thoracolumbar bending kanan dan kiri,Radiologi,Permintaan & Hasil,bag2/XR
24984-7,XR Thoracic and lumbar spine 2 Views,XR vertebra thoracolumbar dua proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
30716-5,XR Thoracic and lumbar spine Lateral Views for scoliosis,XR vertebra thoracolumbar lateral,Radiologi,Permintaan & Hasil,bag2/XR
30717-3,XR Thoracic and lumbar spine Views for scoliosis W standing,XR vertebra thoracolumbar tegak (pemeriksaan skoliosis),Radiologi,Permintaan & Hasil,bag2/XR
37907-3,XR Thoracic spine 4 Views,XR vertebra thorakal 4 proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
30752-0,XR Thoracic spine AP,XR vertebra thorakal AP,Radiologi,Permintaan & Hasil,bag2/XR
30753-8,XR Thoracic spine AP and Lateral,XR vertebra thorakal AP dan lateral,Radiologi,Permintaan & Hasil,bag2/XR
37908-1,XR Thoracic spine AP and Lateral and oblique,"XR vertebra thorakal AP, lateral dan oblique",Radiologi,Permintaan & Hasil,bag2/XR
38121-0,XR Thoracic and lumbar spine Single view,XR vertebra thorakal dan lumbar satu proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
37905-7,XR Thoracic spine 2 Views,XR vertebra thorakal dua proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
30756-1,XR Thoracic spine Lateral,XR vertebra thorakal lateral,Radiologi,Permintaan & Hasil,bag2/XR
30758-7,XR Thoracic spine Oblique,XR vertebra thorakal oblique kanan,Radiologi,Permintaan & Hasil,bag2/XR
30758-7,XR Thoracic spine Oblique,XR vertebra thorakal oblique kiri,Radiologi,Permintaan & Hasil,bag2/XR
37904-0,XR Thoracic spine Single view,XR vertebra thorakal satu proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
37906-5,XR Thoracic spine 3 Views,XR vertebra thorakal tiga proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
24921-9,XR Skull Waters,XR waters,Radiologi,Permintaan & Hasil,bag2/XR
37863-8,XR Sinuses Waters,XR waters sinus paranasalis,Radiologi,Permintaan & Hasil,bag2/XR
26169-3,XR Wrist - bilateral Views,XR wrist bilateral,Radiologi,Permintaan & Hasil,bag2/XR
37483-5,XR Wrist - left 2 Views,XR wrist dua proyeksi,Radiologi,Permintaan & Hasil,bag2/XR
37832-3,XR Wrist - right AP and Lateral,XR wrist joint dextra AP dan lateral,Radiologi,Permintaan & Hasil,bag2/XR
38860-3,XR Wrist - left AP and Lateral,XR wrist joint sinistra AP dan lateral,Radiologi,Permintaan & Hasil,bag2/XR
69242-6,RF Guidance for percutaneous drainage of abscess and placement of drainage catheter of Appendix,Appendicography,Radiologi,Permintaan & Hasil,bag2/RF - RFA
25070-4,RF Unspecified body region Views during surgery,C-Arm guided intraoperatif,Radiologi,Permintaan & Hasil,bag2/RF - RFA
86407-4,RF Guidance of Unspecified body region,C-Arm guided non-operatif,Radiologi,Permintaan & Hasil,bag2/RF - RFA
24666-0,RF Colon Views W air and barium contrast PR,Colon in loop releasae intususepsi,Radiologi,Permintaan & Hasil,bag2/RF - RFA
25079-5,RFA Renal arteries Views W contrast IA,DSA arteri renal dengan kontras,Radiologi,Permintaan & Hasil,bag2/RF - RFA
37407-4,RFA Vertebral artery - bilateral Views W contrast IA,DSA arteri vertebralis bilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag2/RF - RFA
86442-1,RFA Vertebral artery - unilateral Views W contrast IA,DSA arteri vertebralis unilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag2/RF - RFA
94095-7,RFA Extremity vessels Unilateral Views W contrast IV,DSA diagnostik angiografi perifer (ekstremitas),Radiologi,Permintaan & Hasil,bag2/RF - RFA
37173-2,RFA Cerebral artery Views W contrast IA,DSA diagnostik cerebral,Radiologi,Permintaan & Hasil,bag2/RF - RFA
37195-5,RFA Cerebral vein Views W contrast IV,DSA diagnostik cerebral,Radiologi,Permintaan & Hasil,bag2/RF - RFA
39057-5,RFA Pulmonary arteries Views W contrast IA,DSA pulmonary vein dengan kontras,Radiologi,Permintaan & Hasil,bag2/RF - RFA
86435-5,RFA Jugular vein - bilateral Views W contrast IV,DSA vena jugularis bilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag2/RF - RFA
86426-4,RFA Jugular vein - unilateral Views W contrast IV,DSA vena jugularis unilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag2/RF - RFA
37958-6,RFA Orbit veins - right Views W contrast IV,DSA vena orbit kanan dengan kontras IV,Radiologi,Permintaan & Hasil,bag2/RF - RFA
37422-3,RFA Orbit veins - left Views W contrast IV,DSA vena orbit kiri dengan kontras IV,Radiologi,Permintaan & Hasil,bag2/RF - RFA
63520-1,PhenX - body composition by dual-energy x-ray absorptiometry protocol 020301,DXA total body composition,Radiologi,Permintaan & Hasil,bag2/RF - RFA
30815-5,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- W contrast retrograde,ERCP + tindakan,Radiologi,Permintaan & Hasil,bag2/RF - RFA
86388-6,RF Kidney and Ureter and Urinary bladder Views W contrast retrograde,RF RPG (retrogard pyelography) kontras,Radiologi,Permintaan & Hasil,bag2/RF - RFA
88833-9,RF Kidney - bilateral and Ureter Views W contrast retrograde intra ureter,RF RPG (retrogard pyelography) kontras,Radiologi,Permintaan & Hasil,bag2/RF - RFA
88832-1,RF Kidney - left and Ureter Views W contrast retrograde intra ureter,RF RPG (retrogard pyelography) kontras,Radiologi,Permintaan & Hasil,bag2/RF - RFA
88831-3,RF Kidney - right and Ureter Views W contrast retrograde intra ureter,RF RPG (retrogard pyelography) kontras,Radiologi,Permintaan & Hasil,bag2/RF - RFA
86393-6,RF Kidney - bilateral and Ureter - bilateral and Urinary bladder Views W contrast retrograde,RF RPG (retrogard pyelography) kontras,Radiologi,Permintaan & Hasil,bag2/RF - RFA
86389-4,RF Kidney and Ureter and Urinary bladder Views during surgery W contrast retrograde,RF RPG (retrogard pyelography) kontras,Radiologi,Permintaan & Hasil,bag2/RF - RFA
86387-8,RF Kidney and Ureter and Urinary bladder Views W contrast antegrade,RF APG (antegrade pyelography) kontras,Radiologi,Permintaan & Hasil,bag2/RF - RFA
37191-4,RF Joint Arthrogram,RF artrografi,Radiologi,Permintaan & Hasil,bag2/RF - RFA
24910-2,RF Shoulder Arthrogram,RF artrografi bahu,Radiologi,Permintaan & Hasil,bag2/RF - RFA
24764-3,RF Hip Arthrogram,RF artrografi coxae,Radiologi,Permintaan & Hasil,bag2/RF - RFA
37186-4,RF Elbow Arthrogram,RF artrografi cubiti,Radiologi,Permintaan & Hasil,bag2/RF - RFA
24800-5,RF Knee Arthrogram,RF artrografi genu,Radiologi,Permintaan & Hasil,bag2/RF - RFA
37183-1,RF Ankle Arthrogram,RF artrografi pergelangan kaki,Radiologi,Permintaan & Hasil,bag2/RF - RFA
25034-0,RF Wrist Arthrogram,RF artrografi pergelangan tangan,Radiologi,Permintaan & Hasil,bag2/RF - RFA
37647-5,RF Sacroiliac Joint Arthrogram,RF artrografi sakroiliaka,Radiologi,Permintaan & Hasil,bag2/RF - RFA
37901-6,RF Temporomandibular joint Arthrogram,RF artrografi sendi temporomandibula,Radiologi,Permintaan & Hasil,bag2/RF - RFA
86372-0,RF Kidney and Ureter and Urinary bladder Views W contrast IV,RF BNO - IVP W kontras,Radiologi,Permintaan & Hasil,bag2/RF - RFA
30647-2,RF Biliary ducts and Gallbladder Views W contrast via T-tube,RF cholangiografi t. tube w kontras,Radiologi,Permintaan & Hasil,bag2/RF - RFA
24666-0,RF Colon Views W air and barium contrast PR,RF colon in loop,Radiologi,Permintaan & Hasil,bag2/RF - RFA
24666-0,RF Colon Views W air and barium contrast PR,RF colon in loop water soluble,Radiologi,Permintaan & Hasil,bag2/RF - RFA
37586-5,RF Penis Views W contrast intra corpus cavernosum,RF corpora cavernosografi,Radiologi,Permintaan & Hasil,bag2/RF - RFA
86401-7,RF Urinary bladder Views W contrast intra bladder,RF cystogram w kontras intrabladder,Radiologi,Permintaan & Hasil,bag2/RF - RFA
25017-5,RF Urinary bladder and Urethra Views W contrast intra bladder,RF cystourethrography,Radiologi,Permintaan & Hasil,bag2/RF - RFA
38098-0,RF Lacrimal duct - bilateral Views W contrast intra lacrimal duct,RF dacryocystography bilateral,Radiologi,Permintaan & Hasil,bag2/RF - RFA
38827-2,RF Lacrimal duct - right Views W contrast intra lacrimal duct,RF dacryocystography kanan,Radiologi,Permintaan & Hasil,bag2/RF - RFA
38099-8,RF Lacrimal duct - left Views W contrast intra lacrimal duct,RF dacryocystography kiri,Radiologi,Permintaan & Hasil,bag2/RF - RFA
30810-6,RF Lacrimal duct Views W contrast intra lacrimal duct,RF dakriosistografi,Radiologi,Permintaan & Hasil,bag2/RF - RFA
37192-2,RF Cervical spine Views W contrast intradisc,RF diskografi cervikal,Radiologi,Permintaan & Hasil,bag2/RF - RFA
37193-0,RF Lumbar spine Views W contrast intradisc,RF diskografi lumbal,Radiologi,Permintaan & Hasil,bag2/RF - RFA
70933-7,RF Thoracic spine Views W contrast intradisc,RF diskografi thorakal,Radiologi,Permintaan & Hasil,bag2/RF - RFA
30636-5,RF Colon Views for reduction W contrast PR,"RF enema terapi, kontras atau udara, untuk reduksi intususepsi atau obstruksi intraluminal lain (seperti, ileus mekonium)",Radiologi,Permintaan & Hasil,bag2/RF - RFA
38104-6,RF Spine epidural space Views W contrast IT,RF epidurografi,Radiologi,Permintaan & Hasil,bag2/RF - RFA
30815-5,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- W contrast retrograde,RF ERCP (Endoscopic Retrograde Cholangiopancreatography) diagnostik dengan kontras,Radiologi,Permintaan & Hasil,bag2/RF - RFA
24678-5,RF Esophagus Views W contrast PO,RF esofagografi,Radiologi,Permintaan & Hasil,bag2/RF - RFA
30633-2,RF Esophagus Views W barium contrast PO,RF esofagus (esofagogram),Radiologi,Permintaan & Hasil,bag2/RF - RFA
86395-1,RF videography Hypopharynx and Esophagus Views for swallowing function W speech and W barium contrast PO,RF evaluasi faring dan bicara dinamik kompleks dengan cine atau rekaman video,Radiologi,Permintaan & Hasil,bag2/RF - RFA
86410-8,RF Pharynx and Cervical esophagus Views W barium contrast PO,RF faring dan esofagus servikal,Radiologi,Permintaan & Hasil,bag2/RF - RFA
86437-1,RF Fistula Diagnostic W contrast intra fistula,RF fistulogram,Radiologi,Permintaan & Hasil,bag2/RF - RFA
42702-1,RF Greater than 1 hour,RF fluoroscopy dengan durasi lebih dari 1 jam,Radiologi,Permintaan & Hasil,bag2/RF - RFA
39027-8,RF Guidance for needle localization of Unspecified body region,RF fluoroskopi untuk lokalisasi jarum atau kateter vertebra untuk diagnostik atau terapetik,Radiologi,Permintaan & Hasil,bag2/RF - RFA
35912-5,RF Guidance for placement of catheter in Unspecified body region,"RF fluoroskopi untuk mencari akses dan pemasangan kateter, penggantian kateter, atau pelepasan kateter;",Radiologi,Permintaan & Hasil,bag2/RF - RFA
86400-9,RF Guidance for placement of needle in Unspecified body region,"RF fluoroskopi untuk pemasangan jarum (contoh: biopsi, aspirasi, injeksi)",Radiologi,Permintaan & Hasil,bag2/RF - RFA
43574-3,RF Upper gastrointestinal tract and Small bowel Views W barium contrast PO,RF followtrough,Radiologi,Permintaan & Hasil,bag2/RF - RFA
24681-9,RF videography Hypopharynx and Esophagus Views,"RF fungsi menelan, dengan cineXR/videoXR",Radiologi,Permintaan & Hasil,bag2/RF - RFA
88834-7,"RF Guidance for dilation of nephrostomy tract, ureter, or urethra","RF guidance dilatasi nefrostomi, ureter, atau uretra;",Radiologi,Permintaan & Hasil,bag2/RF - RFA
24680-1,RF Guidance for dilation of Esophagus,RF guidance pelebaran esofagus,Radiologi,Permintaan & Hasil,bag2/RF - RFA
88834-7,"RF Guidance for dilation of nephrostomy tract, ureter, or urethra","RF guidance pelebaran nefrostomi, ureter, atau uretra",Radiologi,Permintaan & Hasil,bag2/RF - RFA
24779-1,RF Guidance for percutaneous placement of nephrostomy tube of Kidney - bilateral-- W contrast via tube,RF guidance pemasangan kateter intra pelvis renalis secara perkutan untuk injeksi atau drainase;,Radiologi,Permintaan & Hasil,bag2/RF - RFA
24570-4,RF Guidance for removal of calculus from Biliary duct common-- W contrast retrograde intra biliary,"RF guidance pengangkatan batu duktus biliaris pasca operasi, perkutaneus melalui saluran T-tube, basket, atau snare (seperti, teknik Burhenne),",Radiologi,Permintaan & Hasil,bag2/RF - RFA
30628-2,RF Guidance for removal of foreign body of Unspecified body region,RF guidance pengangkatan benda asing esofagus,Radiologi,Permintaan & Hasil,bag2/RF - RFA
44225-1,RF Guidance for biopsy of Liver-- W contrast IV,RF guidance untuk biopsi hati dengan kontras IV,Radiologi,Permintaan & Hasil,bag2/RF - RFA
35900-0,RF Guidance for percutaneous biopsy of Liver,RF guidance untuk biopsi perkutan hati,Radiologi,Permintaan & Hasil,bag2/RF - RFA
25022-5,RF Uterus and Fallopian tubes Views W contrast IU,RF histerosalfingografi (HSG),Radiologi,Permintaan & Hasil,bag2/RF - RFA
24574-6,RF Biliary ducts and Gallbladder Views during surgery W contrast biliary duct,RF intra-operatif cholangiografi,Radiologi,Permintaan & Hasil,bag2/RF - RFA
44214-5,RF Guidance for endoscopy of Biliary ducts-- W contrast retrograde,RF kateterisasi endoskopi sistem duktus biliaris,Radiologi,Permintaan & Hasil,bag2/RF - RFA
44213-7,RF Guidance for endoscopy of Pancreatic duct-- W contrast retrograde,RF kateterisasi endoskopi sistem duktus pankreatikus,Radiologi,Permintaan & Hasil,bag2/RF - RFA
86403-3,RF Guidance for placement of catheter in Fallopian tube,RF kateterisasi transcervical tuba fallopii,Radiologi,Permintaan & Hasil,bag2/RF - RFA
24574-6,RF Biliary ducts and Gallbladder Views during surgery W contrast biliary duct,RF kolangiografi dan pankreatografi intraoperatif,Radiologi,Permintaan & Hasil,bag2/RF - RFA
86376-1,RF Biliary ducts Views W contrast via existing catheter,RF kolangiografi dan/atau pankreatografi melalui kateter yang telah ada,Radiologi,Permintaan & Hasil,bag2/RF - RFA
24575-3,RF Biliary ducts and Gallbladder Views W contrast percutaneous transhepatic,RF kolangiografi perkutaneus transhepatik,Radiologi,Permintaan & Hasil,bag2/RF - RFA
